Event,PCG,PID,Year,Date,Lat,Long,Depth,Duration,Source,Light.Phase,Temp,Salinity,Oxygen,CHLA,Bank.Sea.Bass.Abund,Black.Sea.Bass.Abund,Gag.Abund,Gray.Triggerfish.Abund,Honeycomb.Moray.Abund,Knobbed.Porgy.Abund,Pinfish.Abund,Planehead.Filefish.Abund,Red.Grouper.Abund,Red.Porgy.Abund,Red.Snapper.Abund,Reticulate.Moray.Abund,Sand.Perch.Abund,Scamp.Abund,Snowy.Grouper.Abund,Spotfin.Butterflyfish.Abund,Spottail.Pinfish.Abund,Spotted.Moray.Abund,Stenotomus.sp.Abund,Tomtate.Abund,Vermilion.Snapper.Abund,White.Grunt.Abund,Whitebone.Porgy.Abund,Bank.Sea.Bass.Bio,Black.Sea.Bass.Bio,Gag.Bio,Gray.Triggerfish.Bio,Honeycomb.Moray.Bio,Knobbed.Porgy.Bio,Pinfish.Bio,Planehead.Filefish.Bio,Red.Grouper.Bio,Red.Porgy.Bio,Red.Snapper.Bio,Reticulate.Moray.Bio,Sand.Perch.Bio,Scamp.Bio,Snowy.Grouper.Bio,Spotfin.Butterflyfish.Bio,Spottail.Pinfish.Bio,Spotted.Moray.Bio,Stenotomus.sp.Bio,Tomtate.Bio,Vermilion.Snapper.Bio,White.Grunt.Bio,Whitebone.Porgy.Bio
2000-95,P05000011324,P05,2000,2000-10-18 11:36:00,31.38317,-80.88348,16,75,Gray's Reef,Day,22.72,36.26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-95,P05000012324,P05,2000,2000-10-18 11:41:00,31.3858,-80.88582,16,91,Gray's Reef,Day,22.72,36.26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000023324,P05,2000,2000-10-19 11:26:00,31.38703,-80.88433,16,69,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000024324,P05,2000,2000-10-19 11:28:00,31.38698,-80.88599,16,83,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000026324,P05,2000,2000-10-19 12:27:00,31.38385,-80.88855,16,74,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000027324,P05,2000,2000-10-19 12:29:00,31.38587,-80.88972,16,100,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000028324,P05,2000,2000-10-19 13:08:00,31.38547,-80.88567,16,90,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000029324,P05,2000,2000-10-19 13:10:00,31.3841,-80.88467,16,108,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000030324,P05,2000,2000-10-19 14:30:00,31.3842,-80.88985,18,111,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000032324,P05,2000,2000-10-19 15:24:00,31.3853,-80.88755,16,110,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000033324,P05,2000,2000-10-19 15:28:00,31.38405,-80.8842,16,123,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-99,P05000034324,P05,2000,2000-10-19 17:00:00,31.38267,-80.88631,17,76,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000035324,P05,2000,2000-10-19 17:02:00,31.3822,-80.88467,18,91,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000036324,P05,2000,2000-10-19 17:59:00,31.38037,-80.88741,16,100,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-99,P05000038324,P05,2000,2000-10-19 19:19:00,31.38445,-80.88717,18,83,Gray's Reef,Day,22.77,36.33,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-6,P05001001324,P05,2000,2000-05-16 15:23:00,32.25495,-79.71675,26,97,SERFS,Day,21.7,35.27,NA,NA,9,44,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,850,8322,0,0,0,0,0,0,0,1695,0,0,145,0,0,0,0,0,0,0,0,0,0
2000-6,P05001002324,P05,2000,2000-05-16 15:31:00,32.25563,-79.71063,27,101,SERFS,Day,21.7,35.27,NA,NA,12,104,0,1,0,0,1,1,0,15,0,0,0,0,0,0,0,0,52,17,2,0,0,1300,22085,0,127,0,0,45,70,0,8072,0,0,0,0,0,0,0,0,4590,1982,412,0,0
2000-6,P05001003324,P05,2000,2000-05-16 15:39:00,32.25648,-79.70515,26,102,SERFS,Day,21.7,35.27,NA,NA,3,108,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,147,3,3,0,0,240,17345,0,0,0,0,180,0,0,1302,0,0,180,0,0,0,0,0,11397,282,890,0,0
2000-6,P05001004324,P05,2000,2000-05-16 15:47:00,32.25498,-79.69745,26,118,SERFS,Day,21.7,35.27,NA,NA,7,130,0,0,0,0,13,0,0,2,0,0,1,0,0,0,0,0,136,4,5,0,0,750,24042,0,0,0,0,1367,0,0,1185,0,0,342,0,0,0,0,0,10195,450,1192,0,0
2000-6,P05001005324,P05,2000,2000-05-16 15:56:00,32.2598,-79.69936,27,96,SERFS,Day,21.7,35.27,NA,NA,3,65,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,57,2,1,0,0,390,11867,0,0,0,0,280,0,0,2250,1185,0,0,0,0,0,0,0,4902,150,320,0,0
2000-6,P05001006324,P05,2000,2000-05-16 16:12:00,32.25935,-79.69221,27,104,SERFS,Day,21.7,35.27,NA,NA,3,41,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,121,0,0,0,0,385,7385,0,0,0,0,260,0,0,0,0,0,1070,0,0,0,0,0,9807,0,0,0,0
2000-7,P05001008324,P05,2000,2000-05-16 18:35:00,32.23955,-79.70468,30,103,SERFS,Day,21.59,35.42,NA,NA,6,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,0,0,825,20482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4930,485,0,0,0
