"","Event","PCG","Year","Lat","Long","Depth","Duration","Temp","Salinity","Black.Sea.Bass.Abund","Red.Porgy.Abund","Red.Snapper.Abund","Scamp.Abund","Stenotomus.sp.Abund","Tomtate.Abund","White.Grunt.Abund"
"1","2000-95","P05000011324",2000,31.38317,-80.88348,16,75,22.72,36.26,0,0,0,0,0,0,0
"2","2000-95","P05000012324",2000,31.3858,-80.88582,16,91,22.72,36.26,0,0,0,0,0,0,0
"3","2000-99","P05000023324",2000,31.38703,-80.88433,16,69,22.77,36.33,0,0,0,0,0,0,0
"4","2000-99","P05000024324",2000,31.38698,-80.88599,16,83,22.77,36.33,0,0,0,0,0,0,0
"5","2000-99","P05000026324",2000,31.38385,-80.88855,16,74,22.77,36.33,0,0,0,0,0,0,0
"6","2000-99","P05000027324",2000,31.38587,-80.88972,16,100,22.77,36.33,0,0,0,0,0,0,0
"7","2000-99","P05000028324",2000,31.38547,-80.88567,16,90,22.77,36.33,0,0,0,0,0,0,0
"8","2000-99","P05000029324",2000,31.3841,-80.88467,16,108,22.77,36.33,0,0,0,0,0,0,0
"9","2000-99","P05000030324",2000,31.3842,-80.88985,18,111,22.77,36.33,0,0,0,0,0,0,0
"10","2000-99","P05000032324",2000,31.3853,-80.88755,16,110,22.77,36.33,0,0,0,0,0,0,0
"11","2000-99","P05000033324",2000,31.38405,-80.8842,16,123,22.77,36.33,0,0,0,0,0,0,0
"12","2000-99","P05000034324",2000,31.38267,-80.88631,17,76,22.77,36.33,0,0,0,0,0,0,0
"13","2000-99","P05000035324",2000,31.3822,-80.88467,18,91,22.77,36.33,0,0,0,0,0,0,0
"14","2000-99","P05000036324",2000,31.38037,-80.88741,16,100,22.77,36.33,0,0,0,0,0,0,0
"15","2000-99","P05000038324",2000,31.38445,-80.88717,18,83,22.77,36.33,0,0,0,0,0,0,0
"16","2000-6","P05001001324",2000,32.25495,-79.71675,26,97,21.7,35.27,44,4,0,0,0,0,0
"17","2000-6","P05001002324",2000,32.25563,-79.71063,27,101,21.7,35.27,104,15,0,0,52,17,0
"18","2000-6","P05001003324",2000,32.25648,-79.70515,26,102,21.7,35.27,108,4,0,0,147,3,0
"19","2000-6","P05001004324",2000,32.25498,-79.69745,26,118,21.7,35.27,130,2,0,0,136,4,0
"20","2000-6","P05001005324",2000,32.2598,-79.69936,27,96,21.7,35.27,65,4,1,0,57,2,0
"21","2000-6","P05001006324",2000,32.25935,-79.69221,27,104,21.7,35.27,41,0,0,0,121,0,0
"22","2000-7","P05001008324",2000,32.23955,-79.70468,30,103,21.59,35.42,115,0,0,0,57,4,0
"23","2000-7","P05001009324",2000,32.24412,-79.70647,27,115,21.59,35.42,87,3,0,0,19,0,0
"24","2000-7","P05001010324",2000,32.24294,-79.70025,27,117,21.59,35.42,129,7,0,0,49,2,0
"25","2000-7","P05001011324",2000,32.24825,-79.702,27,121,21.59,35.42,153,1,0,0,38,2,0
"26","2000-7","P05001012324",2000,32.24857,-79.69569,27,123,21.59,35.42,106,4,0,0,86,6,0
"27","2000-7","P05001013324",2000,32.2545,-79.68978,27,123,21.59,35.42,86,1,0,0,61,3,0
"28","2000-8","P05001015324",2000,32.23038,-79.7018,28,88,21.45,35.51,48,4,0,0,3,5,1
"29","2000-8","P05001016324",2000,32.23177,-79.69603,28,87,21.45,35.51,44,1,0,0,14,33,3
"30","2000-8","P05001017324",2000,32.23137,-79.69109,28,86,21.45,35.51,62,1,1,0,1,16,2
"31","2000-8","P05001018324",2000,32.2349,-79.6894,29,91,21.45,35.51,82,1,0,0,21,27,0
"32","2000-9","P05001020324",2000,32.25122,-79.18035,49,96,21.28,36.33,0,2,0,0,0,52,0
"33","2000-9","P05001021324",2000,32.25918,-79.17342,49,96,21.28,36.33,0,4,0,1,0,1,0
"34","2000-9","P05001022324",2000,32.26985,-79.16385,49,141,21.28,36.33,0,3,3,0,0,27,0
"35","2000-9","P05001023324",2000,32.26752,-79.16724,49,127,21.28,36.33,0,3,0,1,0,29,0
"36","2000-9","P05001024324",2000,32.27291,-79.16628,49,114,21.28,36.33,0,1,0,0,0,128,0
"37","2000-9","P05001025324",2000,32.28283,-79.15524,49,84,21.28,36.33,0,3,0,0,0,34,0
"38","2000-10","P05001027324",2000,32.40387,-78.99763,44,100,21.57,36.35,0,2,0,0,0,71,0
"39","2000-10","P05001028324",2000,32.40888,-78.9936,46,102,21.57,36.35,0,1,0,0,0,79,0
"40","2000-10","P05001029324",2000,32.41103,-78.98675,51,136,21.57,36.35,0,2,0,0,0,2,0
"41","2000-10","P05001030324",2000,32.41467,-78.98145,46,120,21.57,36.35,0,1,0,1,0,0,0
"42","2000-10","P05001031324",2000,32.42065,-78.97675,46,104,21.57,36.35,0,0,0,0,0,0,0
"43","2000-10","P05001032324",2000,32.42263,-78.9737,46,103,21.57,36.35,0,2,0,3,0,9,0
"44","2000-11","P05001035324",2000,32.33918,-79.21285,42,98,21.28,36.33,42,2,0,0,17,46,0
"45","2000-11","P05001036324",2000,32.33484,-79.21217,42,98,21.28,36.33,1,2,5,1,0,0,0
"46","2000-11","P05001037324",2000,32.33342,-79.21371,44,98,21.28,36.33,75,2,0,0,44,0,0
"47","2000-11","P05001038324",2000,32.33342,-79.20907,44,98,21.28,36.33,20,1,0,0,13,5,0
"48","2000-11","P05001039324",2000,32.33247,-79.2074,44,100,21.28,36.33,25,0,0,0,8,1,0
"49","2000-12","P05001041324",2000,32.45348,-78.93695,48,92,21.56,36.35,0,2,0,0,0,0,0
"50","2000-12","P05001042324",2000,32.45042,-78.94122,48,95,21.56,36.35,0,1,0,1,0,19,0
"51","2000-12","P05001043324",2000,32.44736,-78.94505,48,98,21.56,36.35,0,1,0,0,0,44,0
"52","2000-12","P05001044324",2000,32.45353,-78.9381,48,101,21.56,36.35,0,0,0,0,0,43,0
"53","2000-12","P05001045324",2000,32.44155,-78.95322,48,105,21.56,36.35,0,1,0,1,0,1,0
"54","2000-13","P05001048324",2000,32.51311,-79.69637,15,91,22.48,35.53,83,0,0,0,54,2,0
"55","2000-13","P05001049324",2000,32.5116,-79.70035,15,98,22.48,35.53,81,0,0,0,131,1,0
"56","2000-13","P05001050324",2000,32.50767,-79.69923,15,82,22.48,35.53,115,0,0,0,71,2,0
"57","2000-13","P05001051324",2000,32.50807,-79.70425,15,96,22.48,35.53,68,0,0,0,94,2,0
"58","2000-13","P05001052324",2000,32.50525,-79.70564,15,95,22.48,35.53,74,0,0,0,53,1,0
"59","2000-13","P05001053324",2000,32.50355,-79.71024,15,97,22.48,35.53,63,0,0,0,47,0,0
"60","2000-14","P05001055324",2000,31.43562,-80.35654,33,94,23.48,35.96,9,4,0,0,7,10,0
"61","2000-14","P05001056324",2000,31.42828,-80.35954,33,96,23.48,35.96,13,4,0,0,0,31,0
"62","2000-14","P05001057324",2000,31.42515,-80.36485,33,102,23.48,35.96,53,2,0,0,118,35,0
"63","2000-14","P05001058324",2000,31.42545,-80.36955,33,107,23.48,35.96,21,5,0,0,14,13,0
"64","2000-14","P05001059324",2000,31.42245,-80.37054,33,107,23.48,35.96,25,5,0,0,98,98,0
"65","2000-14","P05001060324",2000,31.41983,-80.3751,33,109,23.48,35.96,8,4,0,0,3,26,0
"66","2000-15","P05001062324",2000,31.14865,-79.91087,53,96,20.66,36.28,0,0,0,0,0,0,0
"67","2000-15","P05001063324",2000,31.14452,-79.91438,45,80,20.66,36.28,0,0,0,1,0,0,0
"68","2000-15","P05001064324",2000,31.14282,-79.91295,51,89,20.66,36.28,0,0,0,1,0,0,0
"69","2000-15","P05001065324",2000,31.1392,-79.91448,49,84,20.66,36.28,0,0,0,1,0,0,0
