"","Valid_Video","PCG","EVENT","PID","Coll","Gear_ID","Data.Source","GMT","Day","Month","Year","Latitude","Longitude","Stat_Depth","Samp_Depth","Samp_Dur","Station.Number","Station_Code","Pressure","Depth","Temp","Salinity","Oxygen","CHLA","PO4","NO2","NO3","Backscatter","PAR","Turbidity","Camera_A","Camera_A2","Camera_C","Camera_C2","Camera_CO","Camera_I","Camera_T","CameraBrandA","CameraBrandA2","CameraBrandC","CameraBrandC2","CameraBrandCO","CameraBrandI","CameraBrand","CameraModelA","CameraModelA2","CameraModelC","CameraModelC2","CameraModelCO","CameraModelI","CameraModel","Reader.InitialsA","Reader.InitialsA2","Date.ReadA","Date.ReadA2","Reviewer.InitialsA","Reviewer.InitialsA2","Date.ReviewedA","Date.ReviewedA2","No.Readable.FramesA","No.Readable.FramesA2","Video.ReadableA","Video.ReadableA2","Primary.ReasonA","Primary.ReasonA2","Camera_Dark","Camera_Bounces","Camera_Moves","Camera_Obstruction","Camera_Focus","Camera_Turbidity","Max_Biota_Density","Mean_Biota_Density","Biota_Height","Max_Substrate_Density","Mean_Substrate_Density","Substrate_Size","Substrate_Relief","Current_Direction","Current_Magnitude","MeanCountA","MeanCountA2","Abund01.A","Abund01.A2","Abund01","MaxN.A","MaxN.A2","MaxN","which.max"
"1","Yes","T60143112324","2014-1018","T60",143112,"324","SEFIS","11:29",5,5,2014,29.4,-80.36,40,40,98,5961,"Random",58.29,40,20.14,36.23,4.9,1.58,NA,NA,NA,0.1796927,20.53,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3","HD Hero/Flat Housing",NA,NA,NA,NA,"KCG","KCG","12/18/2014","12/18/2014","BZT","","2/5/2015","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",25,13,"Max Height >0.5 m",2,1,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Cross","Weak",0.27,0.24,1,1,1,1,1,1,"A Camera"
"2","Yes","T60143570324","2014-1091","T60",143570,"324","SEFIS","14:52",10,7,2014,33.61,-77.12,39,39,114,NA,"ReconConv",54.26,37,25.37,36.39,6.54,0.56,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3","HD Hero3",NA,NA,NA,NA,"KCG","KCG","12/24/2014","12/26/2014","ZHS","ZHS","2/10/2015","2/10/2015",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",40,40,"Max Height >0.5 m",55,55,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0.2,0.34,1,1,1,1,1,1,"A Camera"
"3","Yes","T60143675324","2014-1106","T60",143675,"324","SEFIS","14:36",15,7,2014,33.35,-77.68,30,30,112,NA,"ReconConv",36.98,25,24.78,36.31,6.86,0.8,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"KCG","KCG","12/29/2014","12/30/2014","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",25,15,"Max Height >0.5 m",60,35,">50% Consolidated Sediment > 1 m in diameter",">1 m of Relief","Away","Strong",0.2,1.05,1,1,1,1,2,2,"A2 Camera"
"4","Yes","T60143875324","2014-1135","T60",143875,"324","SEFIS","14:31",28,7,2014,33.48,-77.42,31,31,115,NA,"ReconConv",41.51,28,25.26,36.2,6.72,0.36,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"BZT","BZT","1/6/2015","1/6/2015","KCG","","2/11/2015","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",20,15,"Max Height >0.5 m",10,7.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.54,0.49,1,1,1,1,1,1,"A Camera"
"5","Yes","T60143903324","2014-1139","T60",143903,"324","SEFIS","17:58",29,7,2014,33.44,-77.2,42,42,118,NA,"ReconConv",54.57,37,20.43,36.54,5.32,0.42,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"BZT","BZT","12/30/2014","12/31/2014","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,32.5,"Max Height >0.5 m",60,35,">50% Consolidated Sediment > 1 m in diameter",">1 m of Relief","Cross","Weak",0.2,0.66,1,1,1,1,1,1,"A Camera"
"6","Yes","T60143929324","2014-1143","T60",143929,"324","SEFIS","17:05",31,7,2014,33.12,-78.03,37,37,93,NA,"ReconConv",51.25,35,24.11,36.29,6.95,1.02,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"BZT","BZT","12/29/2014","12/30/2014","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",40,25,"Max Height >0.5 m",50,27.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Strong",0,0.2,0,1,1,0,1,1,"A2 Camera"
"7","Yes","T60143943324","2014-1145","T60",143943,"324","SEFIS","14:47",1,8,2014,33.1,-77.93,41,41,126,NA,"ReconConv",57.31,39,21.61,36.4,6.19,2.64,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"BZT","BZT","12/22/2014","12/22/2014","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",20,12.5,"Max height < 0.5 m",25,17.5,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Cross","Weak",2.22,2.49,1,1,1,3,3,3,"A Camera"
"8","Yes","T60143990324","2014-1153","T60",143990,"324","SEFIS","13:52",15,8,2014,29.36,-80.46,28,28,76,5970,"Random",40.72,28,22.25,36.4,6,1.62,NA,NA,NA,0.187625,87.54,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero/Flat Housing",NA,NA,NA,NA,"KCG","KCG","1/13/2015","1/13/2015","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",15,12.5,"Max height < 0.5 m",5,5,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Away","Weak",0.05,0.12,1,1,1,1,1,1,"A Camera"
"9","Yes","T60144078324","2014-1167","T60",144078,"324","SEFIS","20:29",18,8,2014,28.95,-80.36,32,32,74,NA,"ReconConv",43.77,30,21.27,36.35,5.63,2.84,NA,NA,NA,0.2288357,110.06,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero/Flat Housing",NA,NA,NA,NA,"ZHS","ZHS","10/20/2014","10/22/2014","WAM","","2/27/2015","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",40,22.5,"Max Height >0.5 m",75,38.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",2.07,2.22,1,1,1,3,3,3,"A Camera"
"10","Yes","T60144093324","2014-1169","T60",144093,"324","SEFIS","15:39",19,8,2014,29.17,-80.52,27,27,96,5635,"Random",34.36,24,22.43,36.37,5.98,2.25,NA,NA,NA,0.2259,87.76,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero/Flat Housing",NA,NA,NA,NA,"KCG","KCG","1/28/2015","1/28/2015","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",40,40,"Max Height >0.5 m",60,37.5,">50% Consolidated Sediment > 1 m in diameter",">1 m of Relief","Cross","Weak",0.22,0.68,1,1,1,1,3,3,"A2 Camera"
