"","Event","PCG","Year","Lat","Long","Depth","Duration","Temp","Salinity","Black.Sea.Bass.Abund","Red.Snapper.Abund","Scamp.Abund","Stenotomus.sp.Abund","Tomtate.Abund","Presence_absence","Max.BD.kknn","Mean.BD.kknn","BH.kknn","Max.SD.kknn","Mean.SD.kknn","SS.kknn","SR.kknn"
"3470","2011-46","P05110156324",2011,32.2856,-79.72739,24,91,21.67,35.94,9,0,0,21,0,1,17.5,16.625,"Max height < 0.5 m",1,0.791666666666668,"No consolidated sediment","<0.3 m of Relief"
"3471","2011-46","P05110157324",2011,32.28052,-79.72685,24,91,21.67,35.94,2,2,0,0,0,1,6.40499039519067e-09,6.01999097252894e-09,"Max Height >0.5 m",7.2274891617862e-09,5.55624166795912e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3472","2011-46","P05110158324",2011,32.27567,-79.72687,25,93,21.67,35.94,45,0,0,0,0,1,6.57999013276419e-09,5.45999181229369e-09,"Max Height >0.5 m",6.70248994906565e-09,5.16249225841871e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3473","2011-46","P05110159324",2011,32.2778,-79.72089,25,96,21.67,35.94,28,0,0,8,0,1,6.57999013276419e-09,5.45999181229369e-09,"Max Height >0.5 m",6.70248994906565e-09,5.16249225841871e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3474","2011-46","P05110160324",2011,32.28133,-79.71838,24,99,21.67,35.94,8,0,0,0,0,1,6.40499039519067e-09,6.01999097252894e-09,"Max Height >0.5 m",7.2274891617862e-09,5.55624166795912e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3475","2011-47","P05110162324",2011,32.05007,-79.42033,52,92,19.62,36.32,0,0,0,0,0,0,35.3998522020313,26.6998776250055,"Max height < 0.5 m",34.199772055028,21.0998526329292,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3476","2011-47","P05110163324",2011,32.04477,-79.42564,50,90,19.62,36.32,0,0,0,0,0,0,49.4444444444444,40.5555555555555,"Max height < 0.5 m",32.8888888888889,22.3888888888889,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3477","2011-47","P05110164324",2011,32.04232,-79.42847,48,90,19.62,36.32,0,0,0,0,13,0,49.4444444444444,40.5555555555556,"Max height < 0.5 m",32.8888888888889,22.3888888888889,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3478","2011-47","P05110165324",2011,32.03787,-79.43327,51,91,19.62,36.32,0,0,0,0,0,0,49.2186856766562,39.9177870365539,"Max height < 0.5 m",33.3923309410558,22.6078748936431,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3479","2011-47","P05110166324",2011,32.03322,-79.43663,48,93,19.62,36.32,0,0,0,0,5,0,48.463668344462,37.784863073105,"Max Height >0.5 m",35.0760195918497,23.3402417058718,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3480","2011-47","P05110167324",2011,32.0283,-79.44033,49,96,19.62,36.32,0,0,0,0,1,0,47.8571428571429,36.0714285714286,"Max Height >0.5 m",36.4285714285714,23.9285714285714,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3481","2011-49","P05110176324",2011,32.27787,-79.16002,50,92,19.41,36.33,0,0,0,0,12,0,6.57999013276419e-09,5.45999181229369e-09,"Max Height >0.5 m",6.70248994906565e-09,5.16249225841871e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3482","2011-49","P05110177324",2011,32.27245,-79.16454,49,94,19.41,36.33,0,0,0,0,1,0,30.5555555555556,24.8333333333333,"Max height < 0.5 m",41.6666666666667,31.1111111111111,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3483","2011-49","P05110178324",2011,32.26962,-79.16658,46,94,19.41,36.33,0,0,0,0,0,0,30.5555555555556,24.8333333333333,"Max height < 0.5 m",41.6666666666667,31.1111111111111,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
